Który kraj na świecie ma najwięcej kilometrów autostrad?#Rosja, USA, Chiny#Chiny
Jaki jest symbol chemiczny srebra?#Au, Ag, Al#Ag
Jak nazywa się największa firma technologiczna w Korei Południowej?#Alibaba, Tencent, Samsung#Samsung
Który artysta surrealistyczny słynie z malowania topiących się zegarów?#Rene Magritte, Salvador Dali, Giorgio de Chirico#Salvador Dali
Jak nazywało się tureckie miasto Stambuł przed 1930 rokiem?#Aleksandria, Konstantynopol, Bombaj#Konstantynopol
Jaka jest waluta Danii?#Euro, Dinar, Korona#Korona
W jakim stanie USA jest miasto Nashville?#Tennessee, Teksas, Ohio#Tennessee
W którym roku zatonął Titanic podczas dziewiczej podróży?#1899, 1908, 1912#1912
Jaki jest najmniejszy ptak na świecie?#Koliberek hawański, Mysikrólik, Nawałnik burzowy#Koliberek hawański
Która planeta ma najwięcej księżyców?#Saturn, Jowisz, Mars#Saturn
Kto odkrył penicylinę?#Frederick Grant Banting, Alexander Fleming, Gideon Sunback#Alexander Fleming
Ozon to?#Odmiana tlenu, Tlenek siarki, Gaz szlachetny#Odmiana tlenu
Koincydencja to inaczej?#Zbieg okoliczności, Nieszczęście, Współudział#Zbieg okoliczności
Kim był Jan Heweliusz?#Podróżnikiem i geografem, Astronomem, Filozofem i logikiem#Astronomem
Który pierwiastek chemiczny oznaczamy symbolem Pb?#Potas, Rtęć, Ołów#Ołów
Przez ile kontynentów przebiega równik?#2, 3, 4#3
Bogota jest stolicą?#Boliwii, Paragwaju, Kolumbii#Kolumbii
Co zmierzymy w paskalach?#Ciśnienie, Energie, Natężenie oświetlenia#Ciśnienie
Ile strun ma gitara aukustyczna?#4, 5, 6#6
Opuncja to?#Roślina z rodziny kaktusowatych, Tropikalne drzewo owocowe, Roślina przyprawowa z subkontynentu indyjskiego#Roślina z rodziny kaktusowatych